date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-01,0,0,0,0,0.0
2017-11-02,0,0,0,0,0.0
2017-11-03,0,0,0,0,0.0
2017-11-04,0,0,0,0,0.0
2017-11-05,0,0,0,0,0.0
2017-11-06,0,0,0,0,0.0
2017-11-07,0,0,0,0,0.0
2017-11-08,0,0,0,0,0.0
2017-11-09,0,0,0,0,0.0
2017-11-10,0,0,0,0,0.0
2017-11-11,0,0,0,0,0.0
2017-11-12,0,0,0,0,0.0
2017-11-13,0,0,0,0,0.0
2017-11-14,0,0,0,0,0.0
2017-11-15,0,0,0,0,0.0
2017-11-16,0,0,0,0,0.0
2017-11-17,0,0,0,0,0.0
2017-11-18,0,0,0,0,0.0
2017-11-19,0,0,0,0,0.0
2017-11-20,0,0,0,0,0.0
2017-11-21,0,0,0,0,0.0
2017-11-22,0,0,0,0,0.0
2017-11-23,0,0,0,0,0.0
2017-11-24,0,0,0,0,0.0
2017-11-25,0,0,0,0,0.0
2017-11-26,0,0,0,0,0.0
2017-11-27,0,0,0,0,0.0
2017-11-28,3186,166,1345,14958,14370.360000000002
2017-11-29,3236,133,1397,14097,13300.900000000001
2017-11-30,2986,150,1335,15740,13233.89
2017-12-01,2510,107,1256,12409,9591.130000000001
2017-12-02,402,32,287,3313,1443.2600000000002
2017-12-03,1905,90,977,8486,6351.950000000001
2017-12-04,2851,123,1354,12702,13081.579999999998
2017-12-05,2430,170,1196,12588,9438.210000000001
2017-12-06,2455,114,1308,10452,11225.14
2017-12-07,2449,123,1229,11894,10874.49
2017-12-08,1517,121,876,7848,4827.07
2017-12-09,0,0,0,0,0.0
2017-12-10,1739,77,980,8427,4913.41
2017-12-11,4086,122,1596,16941,19796.760000000002
2017-12-12,1988,123,1031,11095,9965.480000000001
2017-12-13,3190,106,1421,14180,15810.46
2017-12-14,1922,162,1067,9457,7593.370000000001
2017-12-15,2044,84,1123,8954,10931.060000000001
2017-12-16,0,0,0,0,0.0
2017-12-17,630,40,468,3989,1935.05
2017-12-18,626,52,467,3193,2801.69
2017-12-19,2050,203,1146,5215,13343.95
2017-12-20,537,32,377,3015,2259.06
2017-12-21,0,0,0,0,0.0
2017-12-22,0,0,0,0,0.0
2017-12-23,0,0,0,0,0.0
2017-12-24,0,0,0,0,0.0
2017-12-25,0,0,0,0,0.0
2017-12-26,0,0,0,0,0.0
2017-12-27,0,0,0,0,0.0
2017-12-28,0,0,0,0,0.0
2017-12-29,0,0,0,0,0.0
2017-12-30,0,0,0,0,0.0
2017-12-31,0,0,0,0,0.0
2018-01-01,661,70,521,2997,1931.95
2018-01-02,929,46,634,5578,3013.2200000000003
2018-01-03,292,14,250,1981,959.6100000000001
2018-01-04,1061,87,695,8480,3360.1600000000003
2018-01-05,712,49,505,5455,4955.780000000001
2018-01-06,0,0,0,0,0.0
2018-01-07,694,37,489,4656,2051.45
2018-01-08,2687,74,1082,8681,14428.55
2018-01-09,1092,65,775,5661,3744.19
2018-01-10,1628,64,927,5689,11582.34
2018-01-11,2217,87,1062,9576,12202.779999999999
2018-01-12,658,53,441,4519,2081.59
2018-01-13,0,0,0,0,0.0
2018-01-14,1080,41,684,5607,3355.5200000000004
2018-01-15,1897,50,1008,6095,8874.08
2018-01-16,1833,51,1068,8864,7783.661
2018-01-17,1205,80,810,5126,6981.04
2018-01-18,1219,88,780,7274,3832.3599999999997
2018-01-19,1516,77,888,8352,9406.619999999999
2018-01-20,0,0,0,0,0.0
2018-01-21,1232,52,706,5835,3919.6
2018-01-22,1688,72,920,7668,6985.360000000001
2018-01-23,1569,168,853,7983,15402.23
2018-01-24,1549,85,887,7627,6361.5
2018-01-25,1246,83,752,7811,3762.2400000000002
2018-01-26,1204,82,718,6177,23953.341000000004
2018-01-27,0,0,0,0,0.0
2018-01-28,1372,58,796,7441,3879.4799999999996
2018-01-29,1385,82,841,6319,7386.311000000001
2018-01-30,1149,60,744,7070,4535.34
2018-01-31,1539,150,949,7213,5941.701
2018-02-01,1563,143,894,8175,4711.68
2018-02-02,1067,147,710,5496,4312.59
2018-02-03,0,0,0,0,0.0
2018-02-04,826,35,558,3779,2266.32
2018-02-05,1366,75,789,6603,6819.9
2018-02-06,1049,58,670,6916,3590.0200000000004
2018-02-07,872,38,627,2952,4086.4900000000002
2018-02-08,865,101,554,4770,2882.61
2018-02-09,820,75,612,4144,3001.02
2018-02-10,0,0,0,0,0.0
2018-02-11,1160,51,710,6430,3463.02
2018-02-12,889,55,571,6945,5631.920999999999
2018-02-13,1938,109,1095,9153,7989.7300000000005
2018-02-14,1044,64,676,6879,3320.7099999999996
2018-02-15,1361,91,788,8358,4973.52
2018-02-16,1625,64,923,5483,7910.299999999999
