date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-01,0,0,0,0,0.0
2017-11-02,0,0,0,0,0.0
2017-11-03,0,0,0,0,0.0
2017-11-04,0,0,0,0,0.0
2017-11-05,0,0,0,0,0.0
2017-11-06,0,0,0,0,0.0
2017-11-07,0,0,0,0,0.0
2017-11-08,0,0,0,0,0.0
2017-11-09,0,0,0,0,0.0
2017-11-10,0,0,0,0,0.0
2017-11-11,0,0,0,0,0.0
2017-11-12,0,0,0,0,0.0
2017-11-13,0,0,0,0,0.0
2017-11-14,0,0,0,0,0.0
2017-11-15,0,0,0,0,0.0
2017-11-16,0,0,0,0,0.0
2017-11-17,0,0,0,0,0.0
2017-11-18,0,0,0,0,0.0
2017-11-19,0,0,0,0,0.0
2017-11-20,0,0,0,0,0.0
2017-11-21,0,0,0,0,0.0
2017-11-22,0,0,0,0,0.0
2017-11-23,0,0,0,0,0.0
2017-11-24,0,0,0,0,0.0
2017-11-25,0,0,0,0,0.0
2017-11-26,0,0,0,0,0.0
2017-11-27,0,0,0,0,0.0
2017-11-28,44,1,44,367,139.03
2017-11-29,2,1,2,5,4.6
2017-11-30,3,1,3,2,12.850000000000001
2017-12-01,0,0,0,0,0.0
2017-12-02,0,0,0,0,0.0
2017-12-03,13,1,13,98,49.199999999999996
2017-12-04,44,3,39,444,151.98000000000002
2017-12-05,0,0,0,0,0.0
2017-12-06,44,4,41,422,376.69999999999993
2017-12-07,0,0,0,0,0.0
2017-12-08,5,2,5,13,13.350000000000001
2017-12-09,0,0,0,0,0.0
2017-12-10,4,1,4,34,30.32
2017-12-11,189,6,143,1718,486.44000000000005
2017-12-12,0,0,0,0,0.0
2017-12-13,0,0,0,0,0.0
2017-12-14,1,1,1,1,3.25
2017-12-15,23,5,21,109,105.39
2017-12-16,0,0,0,0,0.0
2017-12-17,17,1,17,134,66.0
2017-12-18,25,1,25,273,76.68
2017-12-19,0,0,0,0,0.0
2017-12-20,5,1,5,10,7.050000000000001
2017-12-21,0,0,0,0,0.0
2017-12-22,0,0,0,0,0.0
2017-12-23,0,0,0,0,0.0
2017-12-24,0,0,0,0,0.0
2017-12-25,0,0,0,0,0.0
2017-12-26,0,0,0,0,0.0
2017-12-27,0,0,0,0,0.0
2017-12-28,0,0,0,0,0.0
2017-12-29,0,0,0,0,0.0
2017-12-30,0,0,0,0,0.0
2017-12-31,0,0,0,0,0.0
2018-01-01,3,1,3,8,16.29
2018-01-02,0,0,0,0,0.0
2018-01-03,0,0,0,0,0.0
2018-01-04,14,2,14,66,47.55
2018-01-05,0,0,0,0,0.0
2018-01-06,0,0,0,0,0.0
2018-01-07,0,0,0,0,0.0
2018-01-08,34,4,33,213,111.48999999999998
2018-01-09,89,4,80,871,259.45
2018-01-10,40,2,40,347,144.57
2018-01-11,47,3,46,334,154.92
2018-01-12,8,2,8,26,23.27
2018-01-13,0,0,0,0,0.0
2018-01-14,0,0,0,0,0.0
2018-01-15,2,1,2,6,6.7
2018-01-16,2,1,2,4,3.64
2018-01-17,0,0,0,0,0.0
2018-01-18,0,0,0,0,0.0
2018-01-19,131,2,122,1161,352.31
2018-01-20,0,0,0,0,0.0
2018-01-21,40,1,40,332,104.07
2018-01-22,11,1,11,22,34.7
2018-01-23,86,12,76,841,408.53
2018-01-24,0,0,0,0,0.0
2018-01-25,9,3,9,20,32.75
2018-01-26,0,0,0,0,0.0
2018-01-27,0,0,0,0,0.0
2018-01-28,99,1,99,757,288.7800000000001
2018-01-29,39,2,38,365,126.26000000000003
2018-01-30,1,1,1,3,0.85
2018-01-31,4,2,4,30,5.3
2018-02-01,17,2,17,152,48.38
2018-02-02,47,2,45,173,154.82999999999998
2018-02-03,0,0,0,0,0.0
2018-02-04,7,1,7,43,43.1
2018-02-05,60,3,54,490,212.97000000000006
2018-02-06,90,5,78,780,277.81
2018-02-07,15,1,15,126,53.260000000000005
2018-02-08,17,3,17,138,41.8
2018-02-09,48,3,48,427,103.82
2018-02-10,0,0,0,0,0.0
2018-02-11,0,0,0,0,0.0
2018-02-12,50,2,49,321,161.71999999999997
2018-02-13,3,1,3,6,10.850000000000001
2018-02-14,2,1,2,4,1.7
2018-02-15,10,1,10,102,20.56
2018-02-16,0,0,0,0,0.0
2018-02-17,0,0,0,0,0.0
2018-02-18,0,0,0,0,0.0
2018-02-19,1,1,1,2,3.75
2018-02-20,26,7,25,157,79.65
2018-02-21,0,0,0,0,0.0
2018-02-22,10,2,9,64,70.58
2018-02-23,0,0,0,0,0.0
2018-02-24,0,0,0,0,0.0
2018-02-25,36,2,32,290,127.3
2018-02-26,0,0,0,0,0.0
2018-02-27,17,2,17,118,71.4
2018-02-28,29,3,28,180,87.22000000000001
