date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-01,0,0,0,0,0.0
2017-11-02,0,0,0,0,0.0
2017-11-03,0,0,0,0,0.0
2017-11-04,0,0,0,0,0.0
2017-11-05,0,0,0,0,0.0
2017-11-06,0,0,0,0,0.0
2017-11-07,0,0,0,0,0.0
2017-11-08,0,0,0,0,0.0
2017-11-09,0,0,0,0,0.0
2017-11-10,0,0,0,0,0.0
2017-11-11,0,0,0,0,0.0
2017-11-12,0,0,0,0,0.0
2017-11-13,0,0,0,0,0.0
2017-11-14,0,0,0,0,0.0
2017-11-15,0,0,0,0,0.0
2017-11-16,0,0,0,0,0.0
2017-11-17,0,0,0,0,0.0
2017-11-18,0,0,0,0,0.0
2017-11-19,0,0,0,0,0.0
2017-11-20,0,0,0,0,0.0
2017-11-21,0,0,0,0,0.0
2017-11-22,0,0,0,0,0.0
2017-11-23,0,0,0,0,0.0
2017-11-24,0,0,0,0,0.0
2017-11-25,0,0,0,0,0.0
2017-11-26,0,0,0,0,0.0
2017-11-27,0,0,0,0,0.0
2017-11-28,2916,154,1291,12833,13200.939999999999
2017-11-29,3176,125,1389,13588,13111.91
2017-11-30,2895,144,1318,15217,12885.14
2017-12-01,2394,100,1221,11537,9066.92
2017-12-02,370,31,263,3101,1263.2800000000002
2017-12-03,1851,87,964,8038,6148.120000000001
2017-12-04,2666,110,1301,11153,12133.869999999999
2017-12-05,2273,157,1151,11890,8863.470000000001
2017-12-06,2408,108,1292,10013,10843.59
2017-12-07,2360,116,1192,11481,10549.27
2017-12-08,1510,117,875,7828,4792.82
2017-12-09,0,0,0,0,0.0
2017-12-10,1641,71,935,7591,4498.74
2017-12-11,3822,113,1568,14781,19032.95
2017-12-12,1880,119,1000,10299,9472.02
2017-12-13,3111,101,1409,13589,15540.970000000001
2017-12-14,1901,157,1062,9298,5895.530000000001
2017-12-15,1719,71,1011,6538,9520.52
2017-12-16,0,0,0,0,0.0
2017-12-17,566,37,418,3357,1781.77
2017-12-18,557,49,427,2454,2605.8199999999997
2017-12-19,2029,202,1136,5053,13248.390000000001
2017-12-20,325,29,286,1076,1571.04
2017-12-21,0,0,0,0,0.0
2017-12-22,0,0,0,0,0.0
2017-12-23,0,0,0,0,0.0
2017-12-24,0,0,0,0,0.0
2017-12-25,0,0,0,0,0.0
2017-12-26,0,0,0,0,0.0
2017-12-27,0,0,0,0,0.0
2017-12-28,0,0,0,0,0.0
2017-12-29,0,0,0,0,0.0
2017-12-30,0,0,0,0,0.0
2017-12-31,0,0,0,0,0.0
2018-01-01,656,68,520,2985,1901.6599999999999
2018-01-02,929,46,634,5578,3013.2200000000003
2018-01-03,292,14,250,1981,959.6100000000001
2018-01-04,842,78,586,6089,2764.0200000000004
2018-01-05,526,41,380,3785,1869.52
2018-01-06,0,0,0,0,0.0
2018-01-07,666,36,475,4418,1940.9099999999999
2018-01-08,2604,63,1057,7930,12780.960000000001
2018-01-09,1002,60,730,4789,3479.74
2018-01-10,1536,51,892,5017,7651.790000000001
2018-01-11,2128,83,1022,8866,11948.59
2018-01-12,550,45,375,3700,1695.9
2018-01-13,0,0,0,0,0.0
2018-01-14,1080,41,684,5607,3355.5200000000004
2018-01-15,1868,48,993,5917,8645.58
2018-01-16,1613,44,990,7478,6972.951000000001
2018-01-17,1188,74,809,4959,4688.67
2018-01-18,1086,85,712,5810,3379.8199999999997
2018-01-19,1182,66,766,5551,5194.94
2018-01-20,0,0,0,0,0.0
2018-01-21,1192,51,685,5503,3815.53
2018-01-22,1639,69,905,7318,6720.26
2018-01-23,1326,124,783,5795,12272.609999999997
2018-01-24,1433,82,835,6857,6059.36
2018-01-25,1174,78,724,7267,3539.02
2018-01-26,1202,81,717,6164,23924.090999999997
2018-01-27,0,0,0,0,0.0
2018-01-28,1216,53,723,6097,3388.54
2018-01-29,1244,71,795,5167,5252.151
2018-01-30,1012,53,670,5909,2876.71
2018-01-31,1430,143,899,6260,5643.101000000001
2018-02-01,1524,139,878,7851,4519.5
2018-02-02,1020,145,686,5323,4157.76
2018-02-03,0,0,0,0,0.0
2018-02-04,724,31,517,2737,2015.8400000000001
2018-02-05,1197,64,738,5231,4623.85
2018-02-06,775,47,543,4416,2798.6000000000004
2018-02-07,849,35,617,2742,3957.96
2018-02-08,760,92,504,3948,2462.2700000000004
2018-02-09,753,70,583,3561,2783.86
2018-02-10,0,0,0,0,0.0
2018-02-11,1123,49,698,6071,3345.58
2018-02-12,700,46,459,5429,2035.621
2018-02-13,1867,105,1073,8749,7798.599999999999
2018-02-14,939,58,618,5955,2931.21
2018-02-15,1290,84,765,7570,3849.88
2018-02-16,1625,64,923,5483,7910.299999999999
2018-02-17,0,0,0,0,0.0
